,0
0,23792070
1,20614104
2,7511634
3,15350672
4,18196122
5,21437692
6,21339000
7,18013262
8,21771714
9,14691014
10,5014806
11,23148882
12,15902002
13,21651702
14,16311818
15,20438574
16,14209830
17,18194462
18,13863252
19,18370000
20,21413296
21,18029328
22,20415958
23,25901306
24,25942186
25,13064672
26,11404128
27,18116050
28,22936294
29,18027416
30,14642700
31,16951524
32,22292756
33,22877180
34,22951398
35,17935134
36,15130646
37,18776206
38,25775560
39,10566392
40,25322938
41,16906860
42,22287264
43,9241184
44,6536460
45,19325444
46,17358352
47,16492782
48,16998106
49,20460988
50,14494386
51,14449206
52,21820796
53,15181279
54,15321766
55,14729412
56,22039408
57,14168600
58,9060672
59,11648010
60,15543022
61,12707594
62,12912764
63,18885804
64,20145078
65,22756394
66,20808084
67,20953142
68,15833222
69,12133744
70,15732050
71,20690302
72,20712028
73,17024624
74,17171032
75,14840212
76,14647370
77,16293820
78,7985936
79,14178174
80,23166252
81,17770722
82,18267660
83,25198296
84,21348130
85,15998788
86,11842094
87,17952648
88,13578998
89,18528066
90,15582264
91,18684612
92,22139432
93,11413796
94,7824768
95,15924088
96,15556188
97,19052002
98,15502030
99,13369906
100,11694342
101,10414164
102,16916230
103,22391954
104,19231132
105,22432072
106,12977360
107,17563888
108,19540268
109,15257498
110,20278058
111,22575272
112,24280688
113,16726198
114,16544272
115,18854314
116,12034398
117,15792172
118,15567934
119,21080218
120,14249054
121,21249924
122,8157691
123,12778913
124,22717714
125,20969750
126,8234572
127,23063500
128,23995872
129,19082664
130,23075378
131,21839554
132,17145000
133,10581284
134,16128506
135,17466884
136,15995794
137,14829252
138,18385666
139,13223128
140,12801696
141,18890212
142,15845200
143,22731726
144,16337070
145,11610118
146,12703858
147,18912792
148,14786610
149,22889762
150,14936906
151,15904236
152,21225676
153,22170490
154,15337358
155,19795354
156,11881772
157,13878486
158,13673560
159,14155606
160,10372622
161,12956702
162,17215356
163,22438338
164,17002160
165,23121696
166,18567186
167,21321120
168,17724852
169,24371566
170,14166678
171,24463122
172,25096248
173,20140040
174,12917978
175,18539308
176,22027736
177,14672566
178,12141646
179,15280842
180,15803300
181,18320114
182,18189666
183,19113302
184,13501516
185,21973116
186,21749830
187,20607386
188,27638530
189,23898332
190,22431118
191,21584784
192,24330112
193,21220966
194,13786788
195,17230242
196,22376100
197,19055114
198,17998240
199,24903458
200,11456040
201,18542500
202,18285286
203,21031750
204,20269802
205,20473266
206,16574854
207,18193972
208,10324942
209,13782450
210,24893288
211,15343578
212,15996094
213,20434434
214,18658924
215,21102218
216,8219762
217,17535138
218,28446480
219,20314646
220,21155914
221,16707806
222,25310020
223,17694956
224,18576358
225,21249096
226,18281124
227,17783296
228,18148048
229,25997706
230,16963140
231,14571282
232,22282198
233,16409236
234,13598582
235,24570786
236,26648216
237,12690016
238,22799170
239,19488486
240,19776616
241,15537318
242,12406356
243,11762250
244,20872772
245,12572804
246,24312592
247,17112384
248,19373216
249,11382084
250,21916270
251,10733260
252,17958944
253,15285862
254,10441398
255,15608220
256,17659976
257,11176990
258,16986556
259,22937836
260,12211822
261,15652300
262,19198498
263,15713368
264,16941008
