,0
0,10760525
1,10709337
2,10621183
3,10550978
4,10688420
5,10641961
6,10745111
7,10805762
8,10641097
9,10704391
10,10624878
11,10891176
12,10719434
13,10801305
14,10735232
15,10777346
16,10661428
17,10824642
18,10880936
19,10764738
20,10772497
21,10759409
22,10865909
23,10635832
24,10615905
25,10845342
26,10672116
27,10816117
28,10694968
29,10856908
30,10826156
31,10704318
32,10657844
33,10814385
34,10727838
35,10883958
36,10789290
37,10674812
38,10645385
39,10661809
40,10527746
41,10751201
42,10483023
43,10799230
44,10836562
45,10650977
46,10706216
47,10883727
48,10716636
49,10736518
50,10622417
51,10657397
52,10779356
53,10603669
54,10752866
55,10636999
56,10651910
57,11013693
58,10850582
59,10749479
60,10837528
61,10532061
62,10577987
63,10778536
64,10595015
65,10640696
66,10604160
67,10752835
68,10596868
69,10573014
70,10827257
71,10568289
72,10552153
73,10772731
74,10687823
75,10731301
76,10751839
77,10794218
78,10359654
79,10720999
80,10513330
81,10689706
82,10577124
83,10668655
84,10829534
85,10423626
86,10598342
87,10613815
88,10869151
89,10688338
90,10723017
91,10754341
92,10472875
93,10638125
94,10765922
95,10804776
96,10547915
97,10645484
98,10763419
99,10471557
100,10546210
101,10780397
102,10875605
103,10730771
104,10548639
105,10825367
106,10748822
107,10583695
108,10668095
109,10690988
110,10787680
111,10831528
112,10661759
113,10729149
114,10850989
115,10660046
116,10817529
117,10917434
118,10708504
119,10657033
120,10774332
121,10678121
122,10868962
123,10693708
124,10894540
125,10625483
126,10813004
127,10727916
128,10666213
129,10649319
130,10696661
131,10819606
132,10727441
133,10812705
134,10765842
135,10743163
136,10645883
137,10512321
138,10537564
139,10757129
140,10816650
141,10385600
142,10571290
143,10736468
144,10636140
145,10856561
146,10597617
147,10669787
148,10589445
149,10709015
150,10760002
151,10557384
152,10560292
153,10625755
154,10744671
155,10969473
156,10503648
157,10581089
158,10817495
159,10851793
160,10627313
161,10626785
162,10604405
163,10645902
164,10795968
165,10551887
166,10705585
167,10791081
168,10686290
169,10425430
170,10577368
171,10549649
172,10714468
173,10602616
174,10829830
175,10712012
176,10638174
177,10608793
178,10913514
179,10772127
180,10702452
181,10611361
182,10854290
183,10458954
184,10641944
185,10701637
186,10444982
187,10675676
188,10520187
189,10480741
190,10621023
191,10776142
192,10734494
193,10827411
194,10719837
195,10666214
196,10593198
197,10748959
198,10530325
199,10583276
200,10460872
201,10854599
202,10671900
203,10669584
204,10587655
205,10514390
206,10667922
207,10610307
208,10674371
209,10849278
210,10706763
211,10751606
212,10477893
213,10687050
214,10680457
215,10701293
216,10643215
217,10600651
218,10761297
219,10815898
220,10655966
221,10624414
222,10624158
223,10694666
224,10668816
225,10620434
226,10812469
227,10605669
228,10675479
229,10803882
230,10711599
231,10721559
232,10835027
233,10809947
234,10675427
235,10579356
236,10577958
237,10904290
238,10691096
239,10865473
240,10743714
241,10855899
242,10625651
243,10515866
244,10727709
245,10675871
246,10771813
247,10686821
248,10463061
249,10566834
250,10736507
251,10886056
252,10656133
253,10651373
254,10888982
255,10678614
256,10529750
257,10890254
258,10441115
259,10958048
260,10807035
261,10824530
262,10525243
263,10631950
264,10626494
265,10741557
266,10675935
267,10768485
268,10819711
269,10701227
270,10598045
271,10880815
272,10686109
273,10671411
274,10476980
275,10615539
276,10588551
277,10591833
278,10686716
279,10636049
280,10593557
281,10694154
282,10704589
283,10554852
284,10508957
285,10680356
286,10777090
287,10588120
288,10722199
289,10905126
290,10686122
291,10623079
292,10680942
293,10693416
294,10644031
295,10657195
296,10666020
297,10776011
298,10651867
299,10691434
300,10554865
301,10748523
302,10545307
303,10828362
304,10767111
305,10704180
306,10485141
307,10629082
308,11026917
309,10818600
310,10550843
311,10537177
312,10654727
313,10691042
314,10806954
315,10926943
316,10811893
317,10788534
318,10797554
319,10693175
320,10846872
321,10628320
322,10849163
323,10623838
324,10496496
325,10846746
326,10562910
327,10684281
328,10586156
329,10712535
330,10675966
331,10459318
332,10538500
333,10725262
334,10557196
335,10764764
336,10655551
337,10744639
338,10593166
339,10760643
340,10560357
341,10724433
342,10693038
343,10600796
344,10787726
345,10609243
346,10545908
347,10682827
348,10608809
349,10685582
350,10613739
351,10641060
352,10795857
353,10643166
354,10639722
355,10667570
356,10651868
357,10836306
358,10637250
359,10627023
360,10751120
361,10898630
362,10624371
363,10753811
364,10560225
365,10605716
366,10892954
367,10769471
368,10969910
369,10767016
370,10724291
371,10707933
372,10780411
373,10384450
374,10511163
375,10615856
376,10630984
377,10656248
378,10475429
379,10635775
380,10616734
381,10922712
382,10890895
383,10748084
384,10647470
385,10758065
386,10622567
387,10472745
388,10606513
389,10655278
390,10746326
391,10907773
392,10630967
393,10655838
394,10651648
395,10460164
396,10559065
397,10332500
398,10672670
399,10842156
400,10722320
401,10856459
402,10589433
403,10631892
404,10627479
405,10666623
406,10941534
407,10601988
408,10478270
409,10716007
410,10780373
411,10883709
412,10684847
413,10745577
414,10743841
415,10660141
416,10841715
417,10463239
418,10594877
419,10565592
420,10563158
421,10820374
422,10770096
423,10570458
424,10601286
425,10699137
426,10517293
427,10603346
428,10656352
429,10752655
430,10807329
431,10609987
432,10789202
433,10680286
434,10610045
435,10675999
436,10739417
437,10882529
438,10690664
439,10797489
440,10706085
441,10585534
442,10848550
443,10567624
444,10764395
445,10821766
446,10601414
447,10553700
448,10420969
449,10487504
450,10662656
451,10665917
452,10525984
453,10637080
454,10706599
455,10677984
456,10720187
457,10760664
458,10642604
459,10905778
460,10964850
461,10456622
462,10671598
463,10797080
464,10573007
465,10499597
466,10638460
467,10619522
468,10654860
469,10687065
470,10511888
471,10856665
472,10558192
473,10776697
474,10510109
475,10807921
476,10696343
477,10568642
478,10999339
479,10919825
480,10517623
481,10578379
482,10645842
483,10524209
484,10704748
485,10745343
486,10701346
487,10673379
488,10576269
489,10678521
