,0
0,14295192
1,256811202
2,15636309
3,12384945
4,11793448
5,18511366
6,18683351
7,9160581
8,15829929
9,21454445
10,19576382
11,339277482
12,12975715
13,12778679
14,14726009
15,17342286
16,18926203
17,149622944
18,16301658
19,13160059
20,151033364
21,17491921
22,18977588
23,16987081
24,12036746
25,16190755
26,21038681
27,13780864
28,258797491
29,9847128
30,13759448
31,15561502
32,11270910
33,344221114
34,17916289
35,150307597
36,344831734
37,13178714
38,10913614
39,13960740
40,338021750
41,15393132
42,14637812
43,12339933
44,396473613
45,23252306
46,13272353
47,343139424
48,252786442
49,340936869
50,12008853
51,6867059
52,254041792
53,14132199
54,15673116
55,9327225
56,15334626
57,13238337
58,19804078
59,17390204
60,345495234
61,10642813
62,255336949
63,13334854
64,8456833
65,15642274
66,14108080
67,148757555
68,17676990
69,9878571
70,342589698
71,17548823
72,20243269
73,12846042
74,16049337
75,20147372
76,9234574
77,13438233
78,15820487
79,19083279
80,14923049
81,147337825
82,335240497
83,260903990
84,16378774
85,20061678
86,20374397
87,17854327
88,333500349
89,5794814
90,12497887
91,344618649
92,10353423
93,14162069
94,151065816
95,12369391
96,12441910
97,18523942
98,9059052
99,14853304
100,10136304
101,5571338
102,16073768
103,15295091
104,14397353
105,258715269
106,15682620
107,11290819
108,16475181
109,12809471
110,151693120
111,151962653
112,18780182
113,348210538
114,11174836
115,156706034
116,10899257
117,20715016
118,12254738
119,16949934
120,255892094
121,19155473
122,20240670
123,9923905
124,15698605
125,16953070
126,7506180
127,10764946
128,261511924
129,11003535
130,18959224
131,18890228
132,15239477
133,338253785
134,22328346
135,23638745
136,17891177
137,347355125
138,16247716
139,21101200
140,14304916
141,9379221
142,11708894
143,13815543
144,13740720
145,147094190
146,152693445
147,21479405
148,9344008
149,337631660
150,14058508
151,11236505
152,18740303
153,255838071
154,16697758
155,335349132
156,14541403
157,12374112
158,6982155
159,12765783
160,10784852
161,6765155
162,8254371
163,259556308
164,15536709
165,256035280
166,11228446
167,12780554
168,10535273
169,13565484
170,12546263
171,11363109
172,345642943
173,15462346
174,335935469
175,17048083
176,15605017
177,14226989
178,9825637
179,21631215
180,255022352
181,336813243
182,13674884
183,12182135
184,264915292
185,16010203
186,12375937
187,20642306
188,13436493
189,5143063
190,14140445
191,18946091
192,20037412
193,12872465
194,17155904
195,16472876
196,19080778
197,15243749
198,259163264
199,25271506
200,19001760
201,22159762
202,11992813
203,4534460
204,260182372
205,343231588
206,339195735
207,262639028
208,12871525
209,9213901
210,13544232
211,13892694
212,18871637
213,255136466
214,256984367
215,14908940
216,19373454
217,345449901
218,17497444
219,20439342
220,154285767
221,15644330
222,340530365
223,342868364
224,10421622
225,13496761
226,14826546
227,18454865
228,12410895
229,16672738
230,15267899
231,16795288
232,10426960
233,18038919
234,13284391
235,15111801
236,15688795
237,258158588
238,1523390
239,18294927
240,151379471
241,154231160
242,14289134
243,16220061
244,22011643
245,258603636
246,16175693
247,12361247
248,9096285
249,18108974
250,12644415
251,14890519
252,2740609
253,23351682
254,20640847
255,4775094
256,261166991
257,257073482
258,11479291
259,16612869
260,17464732
261,149875442
262,150014841
263,8219793
264,7221285
265,14518099
266,12289536
267,16028102
268,6787700
269,342100743
270,8734301
271,15879835
272,14884391
273,13971719
274,20628470
275,3212390
276,14456682
277,151535373
278,12910846
279,13094585
280,11958907
